titles,addresses,clean_addresses,lat,long
FRANKFURT,"Zeil 106 / MyZeil, FRANKFURT, 60313","Zeil 106 / MyZeil, FRANKFURT, 60313",50.11442,8.68178
MARSEILLE,"Les terraces Du Port, Marseille, 13002","Les terraces Du Port, Marseille, 13002",43.29605,5.36965
COPENHAGEN,"VIMMELSKAFTET 37, COPENHAGEN, 1161","VIMMELSKAFTET 37, COPENHAGEN, 1161",55.678528,12.57593
TORINO,"Le Gru, Grugliasco, TO,  10095","Le Gru, Grugliasco, TO,  10095",45.05570125,7.612151799030027
TORINO CARLO FELICE,"Via Roma, 367, Torino, TO,  10123","Via Roma, 367, Torino, TO,  10123",45.0643532,7.6803301
NICE,"Avenue Eugène Donadeï, St-Laurent-du-Var, 06700","Avenue Eugène Donadeï, St-Laurent-du-Var, 06700",43.6606476,7.194547
NÜRNBERG,"BREITE GASSE 39, NÜRNBERG, 90402","BREITE GASSE 39, NÜRNBERG, 90402",49.4499534,11.0754037
ARESE,"Via Giuseppe Eugenio Luraghi, 11, Arese, MI,  20020","Via Giuseppe Eugenio Luraghi, 11, Arese, MI,  20020",45.5637843,9.0559203
ASSAGO,"c/o Milanofiori viale milanofiori, Assago, 20020","c/o Milanofiori viale milanofiori, Assago, 20020",45.4028,9.15091
MILANO,"Corso Monforte, 2, Milano, MI,  20122","Corso Monforte, 2, Milano, MI,  20122",45.4667013,9.1982249
LEIPZIG,"HÖFE AM BRÜHL, LEIPZIG, 11,  4109","HÖFE AM BRÜHL, LEIPZIG, 11,  4109",51.34351905,12.373720960307214
CARUGATE,"Strada Provinciale 208, km 2, Carugate, MI,  20061","Strada Provinciale 208, km 2, Carugate, MI,  20061",45.54805,9.32806
GENOVA,"Via Fieschi, 6r, Genova, GE,  16121","Via Fieschi, 6r, Genova, GE,  16121",44.40337955,8.935734682960486
BERGAMO,"Via Portico, 71, Orio al Serio, BG,  24050","Via Portico, 71, Orio al Serio, BG,  24050",45.6646274,9.6947147
BERLIN,"TAUENTZIENSTRAßE 20, BERLIN, 10789","TAUENTZIENSTRAßE 20, BERLIN, 10789",52.5024106,13.3403089
MÜNCHEN PASING,"PASING ARCADEN, MÜNCHEN, 4,  81241","PASING ARCADEN, MÜNCHEN, 4,  81241",48.1478198,11.465213590665195
MÜNCHEN RIEM,"Willy-Brandt-Platz 5, MÜNCHEN, 81829","Willy-Brandt-Platz 5, MÜNCHEN, 81829",48.1326476,11.6899969
SKÄRHOLMEN,"Skärholmen Centrum, Skärholmen, 127 48","Skärholmen Centrum, Skärholmen, 127 48",59.28192,17.89515
STOCKHOLM,"RÅSTA STRANDVÄGEN 19, SOLNA, 169 56","RÅSTA STRANDVÄGEN 19, SOLNA, 169 56",59.3726908,18.0032763
VERONA,"Viale delle Nazioni, 1, Verona, VR,  37135","Viale delle Nazioni, 1, Verona, VR,  37135",45.4063474,10.976905130575819
BOLOGNA,"Via dell'Indipendenza, 8D, Bologna, 40121","Via dell'Indipendenza, 8D, Bologna, 40121",44.5002201,11.3441232
MARGHERA,"Via Pietro Arduino, 20, Venezia, VE,  30175","Via Pietro Arduino, 20, Venezia, VE,  30175",45.4584613,12.2136368
ROMA TERMINI,"Piazza dei Cinquecento, 1, ROMA, RM,  00185","Piazza dei Cinquecento, 1, ROMA, RM,  00185",41.9005224,12.5003437
ROMA,"Via Tomacelli, 142, Roma, RM,  00186","Via Tomacelli, 142, Roma, RM,  00186",41.9048701,12.475512
PORTA DI ROMA,"Galleria Commerciale Porta di Roma, Roma, RM,  00139","Galleria Commerciale Porta di Roma, Roma, RM,  00139",41.9719164,12.54049189519899
EUROMA 2,"Centro Commerciale Euroma 2, Roma, RM,  00144","Centro Commerciale Euroma 2, Roma, RM,  00144",41.817101550000004,12.45950934721992
